"XML external entity expansion","Parsing user input as an XML document with external entity expansion is vulnerable to XXE attacks.","error","XML parsing depends on a [[""user-provided value""|""relative:///1/vul.py:1:26:1:32""]] without guarding against external entity expansion.","/1/vul.py","9","33","9","39"
"XML external entity expansion","Parsing user input as an XML document with external entity expansion is vulnerable to XXE attacks.","error","XML parsing depends on a [[""user-provided value""|""relative:///2/vul.py:1:26:1:32""]] without guarding against external entity expansion.","/2/vul.py","17","34","17","43"
